"~id","~labels","dateCreation","extension","expired","isProtected","dateExpiration","dateModification","nbDaysBeforeExpires","id","status"
"46","Site","2022-07-22","nc","False","False","2027-07-22","2022-07-22",1743,"abalone","green"
"47","Site","2015-03-19","nc","False","False","2023-03-19","2021-03-16",157,"abc-vale","green"
"48","Site","2021-06-02","nc","False","False","2026-06-02","2021-06-02",1328,"abc","green"
"49","Site","2021-12-13","nc","False","False","2026-12-13","2021-12-13",1522,"abcolor","green"
"50","Site","2016-02-22","nc","False","False","2026-02-22","2021-02-19",1228,"abconcept","green"
"51","Site","2006-11-21","nc","False","False","2025-11-21","2020-11-20",1135,"abega","green"
"52","Site","2021-03-22","nc","False","False","2026-03-22","2021-03-22",1256,"abf","green"
"53","Site","2018-02-07","nc","False","False","2023-02-07","2018-02-07",117,"abfgroupe","green"
"54","Site","2012-09-19","nc","False","False","2027-09-19","2022-08-01",1802,"abi","green"
"55","Site","2019-08-14","nc","False","False","2024-08-14","2019-08-14",671,"abia-invest","green"
"56","Site","2005-02-16","nc","False","False","2023-02-16","2018-01-08",126,"abiservices","green"
"57","Site","2013-04-09","nc","False","False","2023-04-09","2021-02-22",178,"ablocapro","green"
"58","Site","2014-10-02","nc","False","False","2024-10-02","2022-08-16",720,"ablocation","green"
"59","Site","2018-11-30","nc","False","False","2023-11-30","2018-11-30",413,"abm","green"
"60","Site","2013-07-16","nc","False","False","2026-07-16","2021-05-28",1372,"aboro","green"
"61","Site","2011-08-05","nc","False","False","2024-08-05","2022-06-16",662,"abshop","green"
"62","Site","2017-05-15","nc","False","False","2023-05-15","2021-05-11",214,"abwebcreation","green"
"63","Site","1997-10-31","nc","False","False","2026-10-31","2021-11-01",1479,"ac-noumea","green"
"64","Site","2022-01-06","nc","False","False","2027-01-06","2022-01-06",1546,"ac2f","green"
"65","Site","2008-07-09","nc","False","False","2027-07-09","2022-05-19",1730,"acaf","green"
"66","Site","2020-11-16","nc","False","False","2022-11-16","2022-09-26",34,"acai","green"
"67","Site","2020-09-16","asso.nc","False","False","2025-09-30","2020-09-16",1083,"acbv","green"
"68","Site","2020-09-16","nc","False","False","2025-09-30","2020-09-16",1083,"acbv","green"
"69","Site","2020-08-10","nc","False","False","2027-08-10","2022-06-22",1762,"acca","green"
"70","Site","2018-07-31","nc","False","False","2024-08-21","2022-07-20",678,"accentfloral","green"
"71","Site","2020-11-03","nc","False","False","2025-11-03","2020-11-03",1117,"acces-prive","green"
"72","Site","2022-04-27","nc","False","False","2024-04-27","2022-04-27",562,"access-service","green"
"73","Site","2021-02-08","nc","False","False","2026-02-11","2021-02-08",1217,"accessionpacifique","green"
"74","Site","2021-09-13","nc","False","False","2023-09-13","2021-09-13",335,"accessys","green"
"75","Site","2017-01-30","nc","False","False","2027-01-31","2022-01-06",1571,"accleaner","green"
"76","Site","2009-07-29","asso.nc","False","False","2023-07-29","2018-07-02",289,"accueil","green"
"77","Site","2010-01-26","nc","False","False","2029-01-26","2022-07-21",2297,"ace","green"
"78","Site","2013-07-23","nc","False","False","2027-07-23","2022-06-22",1744,"acestecnam","green"
"79","Site","2018-09-17","nc","False","False","2023-09-17","2018-09-17",339,"acf","green"
"80","Site","2006-12-12","nc","False","False","2023-12-12","2018-10-22",425,"acgm","green"
"81","Site","2006-01-10","asso.nc","False","False","2023-01-10","2019-11-21",89,"ach","green"
"82","Site","2019-07-16","nc","False","False","2023-07-16","2021-05-27",276,"ach","green"
"83","Site","2019-06-25","nc","False","False","2024-06-25","2020-08-06",621,"achat-grandquartier","green"
"84","Site","2021-09-02","nc","False","False","2026-09-02","2021-09-02",1420,"achat","green"
"85","Site","2021-06-02","nc","False","False","2026-06-02","2021-06-02",1328,"achatvente","green"
"86","Site","2020-03-24","nc","False","False","2025-04-13","2020-03-24",913,"acheter","green"
"87","Site","2018-08-20","nc","False","False","2025-08-20","2020-06-30",1042,"acheterdubitcoin","green"
"88","Site","2008-08-27","nc","False","False","2027-08-27","2022-07-07",1779,"aci","green"
"89","Site","2017-07-13","nc","False","False","2023-07-13","2021-05-26",273,"acier","green"
"90","Site","2013-01-30","nc","False","False","2026-01-30","2020-12-11",1205,"acinq","green"
"91","Site","2019-04-19","nc","False","False","2024-04-19","2019-04-19",554,"ackack","green"
"92","Site","2021-04-26","nc","False","False","2026-04-26","2021-04-26",1291,"acm","green"
"93","Site","2003-09-09","nc","False","False","2024-09-09","2022-07-20",697,"acma","green"
"94","Site","2009-02-11","nc","False","False","2027-02-11","2022-01-03",1582,"acor","green"
"95","Site","2012-03-16","nc","False","False","2025-03-16","2022-01-24",885,"acotred","green"
"96","Site","2005-04-19","nc","False","False","2026-04-19","2021-03-02",1284,"acp","green"
"97","Site","2022-03-15","nc","False","False","2027-03-15","2022-03-15",1614,"acpcar","green"
"98","Site","2015-02-17","nc","False","False","2023-02-17","2020-12-28",127,"acpromotion","green"
"99","Site","2009-02-18","nc","False","False","2025-02-18","2020-02-17",859,"acpv","green"
"100","Site","2008-09-19","nc","False","False","2024-09-19","2022-07-30",707,"acrobat","green"
"101","Site","2011-12-20","nc","False","False","2025-12-20","2020-12-18",1164,"acrobatic","green"
"102","Site","2011-12-20","nc","False","False","2025-12-20","2020-12-18",1164,"acrobatique","green"
"103","Site","2019-08-19","nc","False","False","2023-08-19","2021-06-30",310,"acrofish","green"
"104","Site","2018-02-15","nc","False","False","2023-02-15","2018-02-15",125,"acroyoga","green"
"105","Site","2015-05-12","nc","False","False","2023-05-12","2021-03-31",211,"acru","green"
"106","Site","2011-09-07","nc","False","False","2024-09-07","2019-07-23",695,"acs","green"
"107","Site","2018-03-26","nc","False","False","2025-03-26","2020-02-24",895,"acsms","green"
"108","Site","2013-03-01","nc","False","False","2025-03-01","2020-01-10",870,"act","green"
"109","Site","2010-11-19","nc","False","False","2024-11-19","2019-11-20",768,"actb","green"
"110","Site","2015-08-28","nc","False","False","2025-08-31","2022-09-01",1053,"actecil-pacifique","green"
"111","Site","2014-12-10","nc","False","False","2024-12-10","2022-10-11",789,"actemium","green"
"112","Site","2006-05-11","nc","False","False","2026-05-11","2021-03-22",1306,"acti-immo","green"
"113","Site","2013-10-31","nc","False","False","2024-10-31","2022-09-14",749,"action-entreprises","green"
"114","Site","2019-04-05","nc","False","False","2024-04-05","2019-04-05",540,"action","green"
"115","Site","2015-06-24","nc","False","False","2025-06-25","2020-05-11",986,"actionetanche","green"
"116","Site","2021-08-11","nc","False","False","2023-08-11","2021-08-11",302,"actionlaser","green"
"117","Site","2022-02-17","nc","False","False","2025-02-17","2022-02-17",858,"actionsport","green"
"118","Site","2012-06-15","nc","False","False","2024-06-15","2022-04-26",611,"actionvrd","green"
"119","Site","2016-09-13","nc","False","False","2024-09-13","2022-08-04",701,"actis","green"
"120","Site","2022-08-10","nc","False","False","2024-08-10","2022-08-10",667,"activbat","green"
"121","Site","2013-06-19","nc","False","False","2026-06-19","2021-05-19",1345,"active","green"
"122","Site","2014-01-22","nc","False","False","2025-02-06","2020-01-23",847,"actu","green"
"123","Site","2013-10-16","nc","False","False","2026-10-16","2021-08-26",1464,"actuabois","green"
"124","Site","2018-04-19","nc","False","False","2024-04-19","2022-02-28",554,"actuel","green"
"125","Site","1999-09-14","nc","False","False","2024-09-14","2022-07-26",702,"ada","green"
"126","Site","2011-09-08","nc","False","False","2025-09-08","2020-07-28",1061,"adavi","green"
"127","Site","2020-07-09","nc","False","False","2025-07-09","2020-07-09",1000,"adb","green"
"128","Site","2012-02-15","nc","False","False","2023-02-15","2018-02-20",125,"adc","green"
"129","Site","1998-04-23","nc","False","False","2024-04-23","2019-03-28",558,"adck","green"
"130","Site","2022-06-21","nc","False","False","2027-06-21","2022-06-21",1712,"addict","green"
"131","Site","2018-01-29","nc","False","False","2023-01-29","2020-05-06",108,"addo","green"
"132","Site","1998-09-21","nc","False","False","2024-09-21","2022-08-23",709,"adecal","green"
"133","Site","2004-01-06","nc","False","False","2024-01-06","2018-11-19",450,"adecco","green"
